name,SMILES,core_type,substituent_pattern,MW,fosc,DEST_dDFT,DEST_corrected_linear,DEST_corrected_shift,FM_linear,FM_shift,status,prior_invest_flag_ddft,prior_invest_flag_od,od_eV,adc2_DEST_eV,adc2_fosc_S1,adc2_evidence,scscc2_DEST_eV,scscc2_fosc_S1,evidence_level,display_status,evidence_notes
5AP_core,c1cnc2nc3nccnc3nc2n1,5AP,core,184.160000,0.000030,0.213500,-0.095304,-0.057767,0.000003,0.000002,complete,true,true,-3.3976,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NMe22,CN(C)c1nc2nc3nccnc3nc2nc1N(C)C,5AP,NMe22,270.300000,0.000064,0.302500,-0.046347,0.031233,0.000003,0.000000,complete,false,true,-3.7408,,,,,,screening_invest_candidate,screening-only,KS-OD INVEST
5AP_NEt22,CCN(CC)c1nc2nc3nccnc3nc2nc1N(CC)CC,5AP,NEt22,326.410000,0.000365,0.304000,-0.045522,0.032733,0.000017,0.000000,complete,false,true,-3.5433,,,,,,screening_invest_candidate,screening-only,KS-OD INVEST
5AP_NPh22,c1ccc(N(c2ccccc2)c2nc3nc4nccnc4nc3nc2N(c2ccccc2)c2ccccc2)cc1,5AP,NPh22,518.580000,0.000586,0.212900,-0.095634,-0.058367,0.000056,0.000034,complete,true,false,-2.6044,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
5AP_Cz2,c1ccc2c(c1)c1ccccc1n2-c1nc2nc3nccnc3nc2nc1-n1c2ccccc2c2ccccc21,5AP,Cz2,514.550000,0.000017,0.184800,-0.111092,-0.086467,0.000002,0.000001,complete,true,true,-3.1125,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_CF32,FC(F)(F)c1nc2nc3nccnc3nc2nc1C(F)(F)F,5AP,CF32,320.160000,0.000018,0.210300,-0.097065,-0.060967,0.000002,0.000001,complete,true,false,-2.9454,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
5AP_CN2,N#Cc1nc2nc3nccnc3nc2nc1C#N,5AP,CN2,234.180000,0.000012,0.202400,-0.101410,-0.068867,0.000001,0.000001,complete,true,false,-2.8683,,,,,,screening_invest_candidate,screening-only,ΔDFT-corr<-0.05
5AP_Me2,Cc1nc2nc3nccnc3nc2nc1C,5AP,Me2,212.220000,0.000032,0.206800,-0.098990,-0.064467,0.000003,0.000002,complete,true,true,-3.5901,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_OMe2,COc1nc2nc3nccnc3nc2nc1OC,5AP,OMe2,244.210000,0.000034,0.229800,-0.086338,-0.041467,0.000003,0.000001,complete,true,true,-3.4774,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_Ph2,c1ccc(-c2nc3nc4nccnc4nc3nc2-c2ccccc2)cc1,5AP,Ph2,336.360000,0.000023,0.197600,-0.104051,-0.073667,0.000002,0.000002,complete,true,true,-3.5583,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
5AP_NMe2_NEt2,CCN(CC)c1nc2nc3nccnc3nc2nc1N(C)C,5AP,NMe2_NEt2,298.350000,0.000143,0.309400,-0.042551,0.038133,0.000006,0.000000,complete,false,true,-3.7011,,,,,,screening_invest_candidate,screening-only,KS-OD INVEST
5AP_NMe2_NPh2,CN(C)c1nc2nc3nccnc3nc2nc1N(c1ccccc1)c1ccccc1,5AP,NMe2_NPh2,394.440000,0.000072,0.215900,-0.093984,-0.055367,0.000007,0.000004,complete,true,true,-3.1081,,,,,,multi_screen_invest_candidate,screening-only,ΔDFT-corr<-0.05; KS-OD INVEST
