mol_id,smiles,scaffold_family,source_domain,split_group,adc2_s1_ev,adc2_t1_ev,adc2_dest_ev,adc2_fosc,adc2_available,scscc2_s1_ev,scscc2_t1_ev,scscc2_dest_ev,dft_dest_raw_ev,dft_dest_calibrated_ev,fosc_dft,homo_ev,lumo_ev,hl_gap_ev,homo_m1_ev,lumo_p1_ev,od_index,is_invest,is_near_zero,is_high_fosc,mw,logp,tpsa,hbd,hba,rot_bonds,aromatic_rings,ring_count,n_count,b_count,o_count,s_count,heteroatom_ratio,heavy_atom_count,num_atoms,fraction_csp3,num_amide_bonds,num_bridgehead_atoms,num_spiro_atoms,num_hetero_cycles,num_aromatic_hetero_cycles,num_saturated_rings,fp_pc1,fp_pc2,fp_pc3,fp_pc4,fp_pc5,fp_pc6,fp_pc7,fp_pc8,fp_pc9,fp_pc10,fp_pc11,fp_pc12,fp_pc13,fp_pc14,fp_pc15,fp_pc16,fp_pc17,fp_pc18,fp_pc19,fp_pc20,fp_pc21,fp_pc22,fp_pc23,fp_pc24,fp_pc25,fp_pc26,fp_pc27,fp_pc28,fp_pc29,fp_pc30,fp_pc31,fp_pc32,homo_spacing,lumo_spacing,stda_s1_ev,stda_t1_ev,stda_dest_ev,stda_fosc
Hz_POZ1_NH21_SO2Ph1,NC1=NC2=NC(N3c4ccccc4Oc4ccccc43)=NC3=NC(S(=O)(=O)c4ccccc4)=NC(=N1)N23,Hz,this_work,target_unlabeled,,,,,False,,,,0.1967,-0.104546,0.225481,-8.3859,1.1372,9.5231,-9.1137,1.9812,-1.5717999999999996,,,,509.51100000000025,2.841800000000001,150.03000000000003,1,12,1,3,7,9,0,3,1,0.3513513513513513,37,37,0.0,0,0,0,4,0,0,-0.5900107353033391,-0.1486738143745876,0.456040006390273,1.2903766131056391,1.116451534660864,0.6374653247507387,-0.4199801398023379,-0.3849450750739969,1.7212879855831211,0.8814256711235847,-0.9305678459295664,-1.7114566887697824,-1.437498438864591,-0.9772180962543388,-0.8506150565195499,-0.318069885096204,0.0476446905090271,-0.722117241421939,-0.452044480232388,-0.1082359533693022,0.5724105523896609,-0.2622943179270712,-0.0628951590742934,-0.0205041355062067,-0.5596136184967143,0.6492426315860214,0.1135604520047885,0.0752382944020001,-0.1337907797063577,-0.1358016006098573,-0.0335120768291121,1.2220236563080515,0.7278000000000002,0.8440000000000001,,,,
Hz_Cz1_NPh21_CN1,N#CC1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(n4c5ccccc5c5ccccc54)=NC(=N1)N23,Hz,this_work,target_unlabeled,,,,,False,,,,0.1754,-0.116263,0.050775,-8.1343,0.5098,8.6441,-8.4627,1.5923,-1.4108999999999998,,,,530.5550000000002,5.525780000000005,109.36,0,9,2,5,8,10,0,0,0,0.2439024390243902,41,41,0.0,0,0,0,4,1,0,-0.5311506026326973,-0.2302979305126555,0.3398349288693361,2.187827420499554,1.9357347213021427,1.371727838288777,-0.3166279073413958,0.2116941732463378,1.972218049463458,0.4619849127735516,-0.1246461895846784,-1.0882147868369445,-0.0573783922748685,-0.2375801834532003,-0.3795760757771769,1.0302215711883516,-0.2508357678738517,-0.3089248213048988,1.6786627943032553,0.0726729648696442,-0.1604133004525596,0.3604031074429291,-0.1406324366361604,-0.3874832283776009,1.096407083738901,-0.9558341510645224,-0.0594153601849972,0.5149317285161145,-0.7536315056817645,-0.0695100521861565,-0.6041942021624358,-0.9457887139582772,0.3284000000000002,1.0825,,,,
Hz_Cz1_NMe21_CN1,CN(C)C1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(C#N)=NC(=N1)N32,Hz,this_work,target_unlabeled,,,,,False,,,,0.1904,-0.108011,0.001011,-8.1225,0.6121,8.7346,-8.4703,1.68,-1.4156999999999993,,,,406.4130000000002,2.24908,109.36,0,9,0,3,6,10,0,0,0,0.3225806451612903,31,31,0.0952380952380952,0,0,0,4,1,0,-0.5811429171166169,-0.1201805551188603,0.2165832657395282,1.911127166617039,2.0804170880704707,1.2133526597853388,-0.3568510479110565,0.2558127263426408,1.5088387305088622,0.2580193408452002,0.6014000614985596,-1.00011285366907,-0.1337669277274278,0.1862454325299633,-1.0052870142778711,0.7321113387084364,-0.6322449745708227,-0.6746927273366358,1.8975628905608164,0.0359419533902897,-0.3477722108439519,0.1539713217290027,0.0688003315614972,0.0750663175061865,1.0613311754730026,-1.166376706055299,-0.3754111118796338,0.437990425575455,-0.2625456927468237,-0.5758841136617263,-0.1571245899647893,-0.5158020685469584,0.3477999999999994,1.0678999999999998,,,,
Hz_Cz1_NH21_CN1,N#CC1=NC2=NC(N)=NC3=NC(n4c5ccccc5c5ccccc54)=NC(=N1)N23,Hz,this_work,target_unlabeled,,,,,False,,,,0.1514,-0.129465,0.00119,-8.1969,0.4991,8.696,-8.5655,1.5759,-1.4454000000000011,,,,378.35900000000015,1.6461799999999995,132.14,1,9,0,3,6,10,0,0,0,0.3448275862068966,29,29,0.0,0,0,0,4,1,0,-0.5309553572217838,-0.317085060487177,0.2195995767678797,1.471480337487247,1.707175389970763,1.3338067630546244,-0.348772995876587,-0.0147083691099641,1.812920795743892,-0.6782089088344577,-0.6205092322617952,-0.7822524254176959,-0.2369072914726206,-0.0582939726204308,-0.4409622279099982,0.9776448649512802,-0.0488747895306604,-0.7845555332207459,1.5034498868465382,-0.364013218355818,0.7275602941821037,0.4030064057125869,-0.0431942033092438,0.4197921256107091,1.2107987068330526,-1.0067254714131997,-0.4941209532132378,0.5413950215141631,-0.2873443665445461,-0.5368919928613867,-0.926231596960577,0.5047184631305413,0.3686000000000007,1.0768,,,,
Hz_Cz1_NPh21_CF31,FC(F)(F)C1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(n4c5ccccc5c5ccccc54)=NC(=N1)N23,Hz,this_work,target_unlabeled,,,,,False,,,,0.1908,-0.107791,0.0063,-8.1335,0.9157,9.0492,-8.4663,1.7662,-1.183300000000001,,,,573.542,6.564500000000006,85.57,0,8,2,5,8,9,0,0,0,0.2790697674418604,43,43,0.032258064516129,0,0,0,4,1,0,-0.6238447811343779,-0.0798961754005886,0.2128335397500345,2.373385315076272,2.152151031826367,1.341136008337548,-0.1234135757635652,0.3209239604735559,1.3977314513886905,-0.1994516188164777,-0.2284470800871128,-1.400833735445564,0.5834978593704265,-0.6099750328502644,-0.2995988232171531,0.4124246527907104,-0.8737671715451988,0.9669463767996542,-0.3662744486268198,0.5562249072670445,-0.8997635135331825,-0.2225671576685096,-1.0499435353875324,-0.0104831538859934,-0.1566474582410126,-0.5323253702450392,-0.4230008283500526,0.1813484548162443,-0.3875036660488598,0.5608577056443335,-0.0835996399465471,-0.6865698456761216,0.3328000000000006,0.8505,,,,
Hz_Cz1_NMe21_CF31,CN(C)C1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(C(F)(F)F)=NC(=N1)N23,Hz,this_work,target_unlabeled,,,,,False,,,,0.212,-0.096129,0.002818,-8.1234,1.0684,9.1918,-8.4747,1.8389,-1.1218000000000004,,,,449.40000000000015,3.2878000000000016,85.57,0,8,0,3,6,9,0,0,0,0.3636363636363636,33,33,0.1428571428571428,0,0,0,4,1,0,-0.6738370956182976,0.0302211999932062,0.0895818766202266,2.096685061193757,2.296833398594695,1.1827608298341097,-0.1636367163332257,0.3650425135698589,0.934352132434095,-0.4034171907448292,0.4975991709961251,-1.3127318022776897,0.5071093239178672,-0.1861494168671006,-0.9253097617178474,0.1143144203107953,-1.25517637824217,0.6011784707679175,-0.1473743523692586,0.51949389578769,-1.0871224239245747,-0.428998943382436,-0.8405107671898744,0.4520663919977939,-0.1917233665069111,-0.7428679252358158,-0.7389965800446892,0.1044071518755848,0.103582146886081,0.0544836441687636,0.3634699722510993,-0.2565832002648028,0.3513000000000001,0.7705,,,,
Hz_Cz1_NH21_CF31,NC1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(C(F)(F)F)=NC(=N1)N23,Hz,this_work,target_unlabeled,,,,,False,,,,0.1759,-0.115988,0.002909,-8.1985,0.9502,9.1487,-8.5721,1.7394,-1.1628000000000007,,,,421.3460000000001,2.6849000000000007,108.35,1,8,0,3,6,9,0,0,0,0.3870967741935484,31,31,0.0526315789473684,0,0,0,4,1,0,-0.6236495357234644,-0.1666833053751104,0.092598187648578,1.6570382320639652,1.9235917004949872,1.3032149331033955,-0.1555586642987563,0.0945214181172539,1.2384341976691249,-1.339645440424487,-0.7243101227642297,-1.0948713740263156,0.4039689601726743,-0.4306888220174947,-0.3609849753499744,0.3598479465536391,-0.6718061932020076,0.4913156648838072,-0.5414873560835366,0.1195387240415823,-0.011789918898519,-0.1799638593988517,-0.9525053020606156,0.7967922001023166,-0.0422558351468611,-0.5832166905937166,-0.8577064213782932,0.2078117478142928,0.0787834730883586,0.0934757649691033,-0.4056370347446883,0.7639373314126969,0.3736000000000015,0.7892,,,,
Hz_Cz1_NPh21_SO2Ph1,O=S(=O)(C1=NC2=NC(N(c3ccccc3)c3ccccc3)=NC3=NC(n4c5ccccc5c5ccccc54)=NC(=N1)N23)c1ccccc1,Hz,this_work,target_unlabeled,,,,,False,,,,0.126,-0.143437,0.002111,-8.074,0.8765,8.9505,-8.4208,1.723,-1.1933000000000007,,,,645.708,6.433600000000006,119.71,0,10,3,6,9,9,0,2,1,0.25,48,48,0.0,0,0,0,4,1,0,-0.5798759429266427,-0.1122815297787285,0.4405756277597559,2.2970265447745897,1.9979805049928177,1.2575293246872996,-0.2061124631797772,0.0401612369663076,1.766313968531763,0.4512252556712987,-0.1108426320267334,-1.2120732706761577,-0.2119717355413516,-1.069539163135227,-0.5095779976104144,0.8128309715063093,0.1025141643893959,-0.6102988499456095,0.3314575263146226,0.1261699258894471,-1.070335327351769,-0.5828285529502907,-0.774306895714417,-0.8050011753121817,-0.7414938041609949,-0.0565206781570563,-0.1741231156191044,0.3800015969137554,-1.1691870629244068,-0.0626501206436883,0.1486467090254276,-0.279741672904386,0.3468,0.8465000000000001,,,,
Hz_Cz1_NMe21_SO2Ph1,CN(C)C1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(S(=O)(=O)c4ccccc4)=NC(=N1)N23,Hz,this_work,target_unlabeled,,,,,False,,,,0.0709,-0.173746,0.002392,-8.0568,1.027,9.0838,-8.4124,1.8003,-1.1288999999999998,,,,521.5660000000003,3.156900000000002,119.71,0,10,1,4,7,9,0,2,1,0.3157894736842105,38,38,0.0769230769230769,0,0,0,4,1,0,-0.5738976631478528,0.0463738293061317,0.340527512203843,2.2580940829885536,2.025768377632604,1.1460137748947932,-0.2654171691104048,0.0586985362243987,1.3819923907945313,0.3474217319687747,0.6031983078230828,-1.1297759141830506,-0.2826574133485098,-0.7338696290920872,-1.0959866271464769,0.5336183378163314,-0.2984059177368715,-0.9700560111745438,0.5218644677186276,-0.0041105247483317,-1.1848648979426173,-0.8082702693859067,-0.6158334872723328,-0.4071516049994653,-0.8693929162956255,-0.2680909732456362,-0.4310336996873539,0.2855375669618423,-0.6407234952966185,-0.4876510230913722,0.5446639477453898,0.0345698407134954,0.355599999999999,0.7733000000000001,,,,
Hz_Cz1_NH21_SO2Ph1,NC1=NC2=NC(n3c4ccccc4c4ccccc43)=NC3=NC(S(=O)(=O)c4ccccc4)=NC(=N1)N23,Hz,this_work,target_unlabeled,,,,,False,,,,0.0978,-0.158949,0.002499,-8.2527,0.8816,9.1343,-8.6162,1.7445,-1.2263999999999982,,,,493.5120000000002,2.5540000000000003,142.49,1,10,1,4,7,9,0,2,1,0.3333333333333333,36,36,0.0,0,0,0,4,1,0,-0.5237101032530196,-0.1505306760621849,0.3435438232321945,1.818447253858762,1.652526679532896,1.2664678781640788,-0.2573391170759349,-0.2118225592282062,1.6860744560295609,-0.5888065177108833,-0.618710985937272,-0.9119154859316768,-0.3857977770937026,-0.9784090342424812,-0.531661840778604,0.7791518640591754,0.2849642673032907,-1.0799188170586538,0.1277514640043497,-0.4040656964944395,-0.1095323929165616,-0.5592351854023224,-0.727828022143074,-0.0624257968949428,-0.7199253849355755,-0.108439738603537,-0.5497435410209579,0.3889421629005502,-0.6655221690943409,-0.4486589022910326,-0.2244430592503978,1.055090372390995,0.3634999999999984,0.8628999999999999,,,,
Hz_DMAC1_NPh21_CN1,CC1(C)c2ccccc2N(C2=NC3=NC(C#N)=NC4=NC(N(c5ccccc5)c5ccccc5)=NC(=N2)N34)c2ccccc21,Hz,this_work,target_unlabeled,,,,,False,,,,0.2674,-0.065655,0.250962,,,,,,,,,,572.6360000000002,6.347180000000007,107.67,0,10,2,4,8,10,0,0,0,0.2272727272727272,44,44,0.088235294117647,0,0,0,4,0,0,-0.7540309618058189,-0.2395448348336816,0.4569501744189131,1.8884951917698491,1.496519117077722,0.6055362062327279,-0.4360221577170282,0.3324872068551056,2.025537892491282,2.108515953243162,-0.0228176739908773,-1.788297623745242,-0.929248335973784,-0.093349453809083,-1.047325266487226,-0.2808653659259147,-0.2781248511921633,-0.0635956884811285,1.1797727783223877,0.3640679256530383,0.5337409031433368,0.2513320350788851,0.3640721548971506,-0.4028261748818197,1.4643888778173009,0.0234702010787305,0.5621998187828007,0.1375154812816446,-0.0625351965105929,0.207193662557394,-0.3614939705283752,-0.4541802949779779,,,,,,
Hz_DMAC1_NMe21_CN1,CN(C)C1=NC2=NC(N3c4ccccc4C(C)(C)c4ccccc43)=NC3=NC(C#N)=NC(=N1)N32,Hz,this_work,target_unlabeled,,,,,False,,,,0.4518,0.035781,0.209008,,,,,,,,,,448.49400000000014,3.0704800000000017,107.67,0,10,0,2,6,10,0,0,0,0.2941176470588235,34,34,0.2083333333333333,0,0,0,4,0,0,-0.8034275515471597,-0.2308399599282456,0.4029753188024434,1.5162320338822124,1.5358381822512863,0.5659066406865971,-0.4344503420592199,0.2955614599192923,1.7050365377446974,1.7376415702889885,0.378111596355928,-1.7214755564831952,-1.0587170877251022,0.1949510839700527,-1.4520702641579808,-0.4344534937072608,-0.6883471594455993,-0.2647206873984146,1.4189151623517893,0.3587204693065138,0.3611412761469896,0.2132710579608215,0.6397900185724209,0.0971471332003922,1.409611590966501,-0.0397987688124302,0.1324436793569401,0.0733314118230703,0.3107177412150103,-0.3514176911193545,-0.0434777988876808,-0.1585088501083603,,,,,,
Hz_DMAC1_NH21_CN1,CC1(C)c2ccccc2N(C2=NC3=NC(C#N)=NC4=NC(N)=NC(=N2)N43)c2ccccc21,Hz,this_work,target_unlabeled,,,,,False,,,,0.4462,0.0327,0.135073,-8.7399,0.7607,9.5006,-9.1041,1.9689,-1.5724,,,,420.4400000000001,2.4675800000000008,130.45,1,10,0,2,6,10,0,0,0,0.3125,32,32,0.1363636363636363,0,0,0,4,0,0,-0.7538357163949053,-0.3263319648082031,0.3367148223174567,1.1721481087575434,1.267959785746342,0.5676151309985749,-0.4681672462522193,0.1060846644988036,1.8662406387717168,0.968322131635152,-0.5186807166679943,-1.4823352623259938,-1.108777235171536,0.0859367570236864,-1.1087114186200473,-0.333442072162986,-0.076163872848972,-0.5392264003969758,1.004559870865671,-0.0726182575724238,1.4217144977780003,0.293935333348543,0.4615103882240672,0.4044491791064903,1.5787805009114522,-0.0274211192699466,0.1274942257545601,0.1639787742796931,0.4037519426266254,-0.260188278117836,-0.6835313653265163,0.9963268821108406,0.3642000000000003,1.2082000000000002,,,,
Hz_DMAC1_NPh21_CF31,CC1(C)c2ccccc2N(C2=NC3=NC(C(F)(F)F)=NC4=NC(N(c5ccccc5)c5ccccc5)=NC(=N2)N43)c2ccccc21,Hz,this_work,target_labeled,3.22412,3.34446,-0.12034,0.020699,True,3.46991,3.69024,-0.22033,0.2964,-0.049702,0.400913,,,,,,,True,False,False,615.623,7.385900000000007,83.88,0,9,2,4,8,9,0,0,0,0.2608695652173913,46,46,0.1176470588235294,0,0,0,4,0,0,-0.8467251403074996,-0.0891430797216148,0.3299487852996116,2.074053086346568,1.7129354276019464,0.574944376281499,-0.2428078261391975,0.4417169940823238,1.4510512944165144,1.4470794216531322,-0.1266185644933118,-2.100916572353861,-0.2883720843284886,-0.465744303206147,-0.9673480139272026,-0.8986622843235559,-0.9010562548635104,1.2122755096234246,-0.8651644646076876,0.8476198680504385,-0.2056093099372859,-0.3316382300325537,-0.5452389438542211,-0.0258261003902123,0.211334335837387,0.4469789818982137,0.1986143506177453,-0.1960677924182257,0.3035926431223117,0.8375614203878841,0.1591005916875135,-0.1949614266958224,,,,,,
