mol_id,mw,logp,tpsa,hbd,hba,rot_bonds,aromatic_rings,ring_count,n_count,b_count,o_count,s_count,heteroatom_ratio,heavy_atom_count,num_atoms,fraction_csp3,num_amide_bonds,num_bridgehead_atoms,num_spiro_atoms,num_hetero_cycles,num_aromatic_hetero_cycles,num_saturated_rings,fp_pc1,fp_pc2,fp_pc3,fp_pc4,fp_pc5,fp_pc6,fp_pc7,fp_pc8,fp_pc9,fp_pc10,fp_pc11,fp_pc12,fp_pc13,fp_pc14,fp_pc15,fp_pc16,fp_pc17,fp_pc18,fp_pc19,fp_pc20,fp_pc21,fp_pc22,fp_pc23,fp_pc24,fp_pc25,fp_pc26,fp_pc27,fp_pc28,fp_pc29,fp_pc30,fp_pc31,fp_pc32
5AP_NPh22,518.5840000000002,7.302600000000005,83.82,0,8,6,7,7,8,0,0,0,0.2,40,40,0.0,0,0,0,3,3,0,0.18410747665184768,-0.7295984701041458,1.097318242310989,0.9052137334037307,0.2849459275717396,-0.04496153228219035,-1.0009338456714019,0.05018259520598048,0.6583720286544468,1.7293182065875312,-0.07939071234540779,-0.16050277794237672,2.499608576775897,0.2336226424759335,1.040587514000101,0.10289169680729064,0.044298445458727326,-0.451982053816449,0.08891611445744693,0.15222520338038714,-0.03602339321462969,0.4028665567616546,-0.0882655094123524,-0.26012926408626724,-0.5719288887251397,0.4028631576497379,0.22317676797365466,0.03604520927127471,-0.16465597747900426,0.48030750773581427,-0.26909457136559967,-0.2389449794772613
5AP_Cz2,514.5520000000001,6.557200000000004,87.19999999999999,0,6,2,9,9,8,0,0,0,0.2,40,40,0.0,0,0,0,5,5,0,0.5011733744756054,-0.6479618546096746,0.6431864171920418,0.5852517489136138,0.7382168528116353,0.5570862379017405,-0.8175500741012638,-0.015026860483216262,0.9304126522887309,-0.12876901465151394,-0.35203498808108347,-0.07591906891932748,2.6402480775485526,0.2312679165416019,0.8891957351182975,0.7117842891978423,0.06635620374507206,-1.0363746846079245,0.45320853841298686,-0.06291839828790398,-0.5554442123831043,-0.20115727575753495,-0.5952825464743798,0.0061167128879505706,-0.3441220703953345,-0.5534415191654296,-0.11110642302159413,0.5084703277235356,-0.2815528972055802,0.10892789691434328,-0.18847733060095676,0.40826771797538836
5AP_CF32,320.156,2.4006,77.34,0,6,0,3,3,6,0,0,0,0.5454545454545454,22,22,0.2,0,0,0,3,3,0,-0.19774353549446821,-1.0813583652213383,0.8997096856608265,-0.029731291392341576,0.28608907541316553,-0.33934102262254473,-0.8977607722136491,0.08553549797412707,-0.3238779651710274,0.19025578402520235,-0.1066721790648394,-0.5182002771790706,2.4606559774270145,0.9326885444624164,0.8300117342395403,-0.4930904025345182,-0.7741759353141278,0.25460065426432793,-0.6042817443824682,0.4215360831723467,0.5101033248364004,0.19054909378736024,0.04996031802812298,0.155289909945808,-0.3391445769408663,0.12047339518670563,-0.10871282342854331,-0.19295080822968277,0.022018336066653127,0.5234707772417493,-0.5962251591590176,0.011398782042383343
5AP_CN2,234.18200000000002,0.10635999999999984,124.91999999999999,0,8,0,3,3,8,0,0,0,0.4444444444444444,18,18,0.0,0,0,0,3,3,0,-0.0902921584675428,-1.10457113558677,1.0417587449936958,-0.26961147914250727,0.02566326248893297,-0.3662899030007307,-1.0278018012983492,0.13271666532084941,0.16439645508315137,0.6841209221567011,-0.0008458282147546514,-0.32609477626675715,2.0079586056795287,1.0673183439954912,0.6658034302776917,-0.025977270652575407,-0.19555462034845425,-0.7416712597279917,0.9408601657446697,0.02444235131516996,0.9591087572551569,0.5908260670703332,0.6890895420060227,-0.07462937758425597,0.5208413343955353,-0.23696171444212522,0.005182153366906736,0.1828372125910524,-0.19700233700672604,0.30739700643716644,-0.9157983649053444,-0.09833772536716823
5AP_Me2,212.21599999999998,0.9798399999999998,77.34,0,6,0,3,3,6,0,0,0,0.375,16,16,0.2,0,0,0,3,3,0,-0.09226786138081566,-0.9448638404888299,0.9271261720363275,-0.13257198231377262,0.1338809621767435,-0.5545925008457596,-1.1328316321768936,0.051432766655302664,-0.1883914086337959,0.6331597804447139,0.41291970857669014,-0.14652205145463304,2.1284554110707448,0.8146688218101086,0.49600315844980714,-0.5626273657460948,-0.09607344537135028,-0.9321689163367346,0.058490496721523386,0.015855356739666884,0.3447100933931433,0.011798113822935469,0.25947524800624444,-0.11772847343967519,-0.279326241628281,-0.21014169027605373,0.3004944447888238,-0.10898166163549244,0.046150889516099164,0.289273728587997,-0.040682871545799165,0.5798409215953495
5AP_OMe2,244.214,0.38019999999999965,95.80000000000001,0,8,2,3,3,6,0,2,0,0.4444444444444444,18,18,0.2,0,0,0,3,3,0,-0.056359327186066344,-0.9647647537029334,0.9629033295763834,0.12489112896942556,-0.002245757151929706,-0.5834726371831427,-1.0131066771976587,0.14944005321605208,-0.23520350885508046,0.6654866189402363,0.3228259814335394,-0.04726661390604567,2.3077503881552266,0.7306050938230517,0.5534530612177586,-0.4742420295974107,0.015316962772225856,-0.8873976771758276,0.06037460543405058,0.2194806252999013,0.4397074694025666,0.11125901619461474,0.3905572202473385,-0.03327029576038598,-0.22882162235247158,-0.10968408374413813,0.1907182991846444,-0.02310103989310402,-0.2247480574933169,0.1861283866024424,-0.05099051136616076,0.5963343839574584
5AP_Ph2,336.358,3.697000000000002,77.34,0,6,2,5,5,6,0,0,0,0.23076923076923078,26,26,0.0,0,0,0,3,3,0,0.1645666972221742,-0.6615507458980131,0.99769376324525,0.6234306029450654,-0.29750988233943093,0.24950277390139375,-1.0311736882371998,0.07282293685644053,0.5778431242036655,0.955072819424185,-0.5098669236393649,0.058504653349634214,2.3379040993969324,0.3273596525514142,0.845264370096664,0.02972761801937117,0.10504869343872575,-0.6420769848530518,-0.01170702448056389,-0.29493654700251076,0.4229083878080389,0.1332430796294623,-0.12308144954996397,-0.09290729751909657,-0.4709648033322664,0.16087014339265404,0.2064285581072564,-0.12595074768236036,0.33526815383064,0.2498601807737244,-0.1852295858555205,-0.09239521635225123
5AP_NMe2_NEt2,298.35400000000004,1.2751999999999997,83.82,0,8,4,3,3,8,0,0,0,0.36363636363636365,22,22,0.42857142857142855,0,0,0,3,3,0,0.00564920003651459,-0.9567348642970556,0.7918698539104808,0.23382929306811623,0.42899661698074865,-0.5283503792557983,-1.167028893478225,0.17015609743706134,-0.2400276598821158,1.5482690626882583,0.9676181675567789,-0.09457456475653003,2.5310630996128483,0.701838555955377,0.44422930917756764,-0.5525677374431115,-0.5649941059788783,-0.9352527278998078,0.3765396538497061,0.3872569752203239,-0.04470615920961532,0.6236184331500334,0.2847415968727718,-0.22534589275936526,-0.6302926538016906,0.21149207122798386,-0.1828565190692013,-0.15543197313060925,-0.2295396890422318,0.20803412213681782,-0.0020641631432469776,0.4006853687968969
5AP_NMe2_NPh2,394.44200000000006,3.8988000000000023,83.82,0,8,4,5,5,8,0,0,0,0.26666666666666666,30,30,0.09090909090909091,0,0,0,3,3,0,0.18384488705940027,-0.6140575246763351,1.0015826805973707,1.1658950453230188,0.4975234139119067,-0.14252320148066866,-1.0279288953569008,0.08841709138719489,0.3531277956204107,2.1965947173388,0.64371053493233,-0.05835176678442833,2.5995114594854,0.361355579171117,0.7206468833870946,-0.05626052001057191,-0.2249793652129172,-0.5684252928408282,0.28072744288413226,0.1480610255347964,-0.28132436983377407,0.3353419113307248,-0.09750347940916354,-0.14834556707279048,-0.6353368352094633,0.3966864822677275,0.12264394565468562,0.009544767911358255,0.008772226413453571,0.2607806498877737,-0.00997903983646592,-0.2009379719504476
5AP_NMe2_Cz,392.4260000000001,3.5261000000000022,85.50999999999999,0,7,2,6,6,8,0,0,0,0.26666666666666666,30,30,0.09090909090909091,0,0,0,4,4,0,0.4939246382503949,-0.5321119135080858,0.5549699362190297,1.0020508598636646,1.0654685777675912,0.466169094589592,-0.8714057397895311,0.02004765457284425,0.5777689404096961,0.6732071201491968,0.5965344846339782,0.02290876537586692,2.9685485696943013,0.3891289883674098,0.5928724493478231,0.5439046133347638,-0.3472172108676478,-1.181600176184059,0.7447062636365799,0.010550731986156234,-0.9430984994659519,-0.14856508440217356,-0.5670793166767722,0.13056362690368384,-0.5108022049950357,-0.4750379409406894,-0.2725031108585193,0.49017925541196355,-0.1697763793680803,-0.12099957108872735,0.08817907359111318,0.3622434043224216
