name,SMILES,canonical_SMILES,core_type,fosc,DEST_eV,DEST_raw_eV,MW,source,method,is_INVEST
O23_KIXSOZ,CN1C(=S)N(C)C(=S)N(C)C1=S,Cn1c(=S)n(C)c(=S)n(C)c1=S,literature,,0.0664546789999999,0.246600001,219.36,Omar2023_JACS,"CASSCF(8,8)/6-31G*",False
O23_KIXRAK,CSC1=NC(=S)N(C)C(=S)N1C,CSc1nc(=S)n(C)c(=S)n1C,literature,,0.27150000200000024,0.27150000200000024,219.36,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KIXQUD,CSC1=NC(=S)N(C)C(=N1)SC,CSc1nc(SC)n(C)c(=S)n1,literature,,0.28610000199999996,0.28610000199999996,219.36,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KIXKAG,CC1(CCC2(CCC3(CCC(C)(N3[O])c3ccc(cc3)C(O)=O)CC2)N1[O])c1ccc(cc1)C(O)=O,CC1(c2ccc(C(=O)O)cc2)CCC2(CCC3(CC2)CCC(C)(c2ccc(C(=O)O)cc2)N3[O])N1[O],literature,,0.20970000199999994,0.20970000199999994,492.5720000000003,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KIWZEW,CN(CC(=O)c1ccc2ccccc2c1)c1ccccc1,CN(CC(=O)c1ccc2ccccc2c1)c1ccccc1,literature,,0.26640000200000014,0.26640000200000014,275.351,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KIWWUK,Cc1cccc(C)c1N=[B-]1[N+](=C(C=C1C(C)(C)C)C(C)(C)C)c1c(C)cccc1C,Cc1cccc(C)c1N=[B-]1C(C(C)(C)C)=CC(C(C)(C)C)=[N+]1c1c(C)cccc1C,literature,,0.1913000010000001,0.1913000010000001,400.4190000000002,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KIWDOM,CC(=NN=C(C)c1cc(Br)cc(Br)c1O)c1cc(Br)cc(Br)c1O,CC(=NN=C(C)c1cc(Br)cc(Br)c1O)c1cc(Br)cc(Br)c1O,literature,,0.2585000019999999,0.2585000019999999,583.9000000000001,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KIVDAV,C1CC2=C(C1)SC(S2)=C1SC2=C(CCC2)S1,C1CC2=C(C1)SC(=C1SC3=C(CCC3)S1)S2,literature,,1.354339875,0.2052000009999997,284.4959999999999,Omar2023_JACS,"CASSCF(8,8)/6-31G*",False
O23_KISTUE,CCC1(CC)CC(C)(C)N(C1=C=PP1C([P]C1=C1N(c2c(cccc2C(C)C)C(C)C)C(C)(C)CC1(CC)CC)=C1N(c2c(cccc2C(C)C)C(C)C)C(C)(C)CC1(CC)CC)c1c(cccc1C(C)C)C(C)C,CCC1(CC)CC(C)(C)N(c2c(C(C)C)cccc2C(C)C)C1=C=PP1C(=C2N(c3c(C(C)C)cccc3C(C)C)C(C)(C)CC2(CC)CC)[P]C1=C1N(c2c(C(C)C)cccc2C(C)C)C(C)(C)CC1(CC)CC,literature,,0.246700001,0.246700001,1069.5419999999988,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
O23_KORZOJ,CN1c2ccc(Br)cc2c2cc(Br)ccc2N(C)C21C(=O)c1ccccc1C2=O,CN1c2ccc(Br)cc2-c2cc(Br)ccc2N(C)C12C(=O)c1ccccc1C2=O,literature,,0.2905000010000003,0.2905000010000003,512.2010000000002,Omar2023_JACS,TDDFT/M06-2X/def2-TZVP,False
