metric_or_molecule	field	before_value	after_value	status	notes
Hz_NEt21_NPh22	sign_agree	True	True	UNCHANGED	
Hz_NPh22_CN1	ADC2_dEST_meV	-54.0	-54.0	UNCHANGED	
Hz_NPh22_CN1	SCSCC2_dEST_meV	-136.1	-136.1	UNCHANGED	
Hz_NPh22_CN1	SCSCC2_S1_eV	3.33146	3.33146	UNCHANGED	
Hz_NPh22_CN1	SCSCC2_T1_eV	3.4676	3.4676	UNCHANGED	
Hz_NPh22_CN1	abs_ddEST_meV	82.1	82.1	UNCHANGED	
Hz_NPh22_CN1	ADC2_dEST_meV_abs	54.0	54.0	UNCHANGED	
Hz_NPh22_CN1	SCSCC2_dEST_meV_abs	136.1	136.1	UNCHANGED	
Hz_NPh22_CN1	sign_agree	True	True	UNCHANGED	
cohort	n_total	13	13	UNCHANGED	
cohort	n_sign_retain	13	13	UNCHANGED	
cohort	sign_retain_rate	1.0	1.0	UNCHANGED	
cohort	clopper_pearson_95_CI	[0.7529, 1.0]	[0.7529, 1.0]	UNCHANGED	
cohort	clopper_pearson_90_CI	[0.7942, 1.0]	[0.7942, 1.0]	UNCHANGED	
cohort	abs_ddEST_meV_min	10.09	10.09	UNCHANGED	
cohort	abs_ddEST_meV_max	193.74	193.74	UNCHANGED	
cohort	abs_ddEST_meV_mean	109.84	109.84	UNCHANGED	
cohort	abs_ddEST_meV_median	101.45	101.45	UNCHANGED	
cohort	narrowest_margin_mol	'Hz_NPh21_Cz2'	'Hz_NPh21_Cz2'	UNCHANGED	
cohort	narrowest_margin_meV	10.1	10.1	UNCHANGED	
cohort	rule_of_three_upper_bound	0.2308	0.2308	UNCHANGED	
metadata	ci_method	'Clopper-Pearson exact two-sided 95%'	'Not reported as a Clopper-Pearson population confidence interval because the 13 molecules were ADC(2)-preselected.'	EXPECTED_METADATA_CHANGE	
metadata	paper_cited_signrate	'13/13'	'0 sign disagreement within the ADC(2)-screened cohort'	EXPECTED_METADATA_CHANGE	
metadata	paper_cited_scope	None	'ADC(2)-screened negative-or-dark-negative cohort; not a randomly sampled chemical population'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
metadata	paper_cited_bound	None	'rule of three; one-sided 95% upper bound ~= 3/13 = 0.2308'	EXPECTED_METADATA_CHANGE	alias added in Patch B review-fix
